0.490814,0.095404,5,1.425161,0.916845
0.292311,0.067485,4.737737,1.507628,0.923674
0.096593,0.025882,4.281644,1.607138,0.952454
0.047815,0.014619,3.866786,1.71659,0.98295
0.186716,0.071674,3.175022,1.95697,1.006876
0,0,2.902993,2.111362,1.042906
0.267302,0.136197,2.514292,2.51995,1.074193
0.128575,0.077256,2.261629,3.089884,1.144041
0.040958,0.028679,2.071348,4.027954,1.237362
0.319454,0.240726,1.969966,4.692038,1.285914
0.279522,0.210635,2.036445,4.817318,1.321202
0.209668,0.13616,2.380843,3.811478,1.299454
0.128575,0.077256,2.594634,3.463499,1.288256
0.286703,0.200752,2.363062,4.499682,1.385126
0.155429,0.125864,2.209661,5,1.510576
0.339619,0.295227,2.15099,5,1.59119
0.399318,0.300908,2.44495,5,1.543317
0.083867,0.054464,2.859823,4.450514,1.524813
0,0,3.119201,4.083307,1.518284
0.409576,0.286788,2.803933,5,1.606425
0.327661,0.229431,2.852645,5,1.643159
0.209668,0.13616,3.096836,4.773611,1.633499
0,0,3.19631,4.897828,1.674828
0.167734,0.108928,3.245779,5,1.691064
0.25715,0.154511,3.433519,4.421849,1.649177
0,0,4.017679,3.714906,1.604352
0.445503,0.226995,4.076558,3.757495,1.619638
0.131193,0.072721,3.795737,4.097941,1.655062
0.43731,0.242405,3.91246,4.200102,1.69161
0.453154,0.211309,4.667267,3.609869,1.655843
0.317208,0.147916,4.886587,3.689897,1.700715
0.43731,0.242405,4.387038,4.503932,1.814703
0.131193,0.072721,4.534101,4.627642,1.863548
0.311852,0.158897,5,4.291009,1.851495
0.400953,0.204296,5,4.346293,1.875739
0.300009,0.180263,4.584436,5,2.004252
0.335468,0.217856,4.392685,5,2.081605
0.087462,0.048481,5,5,2.030922
0.43731,0.242405,5,5,2.058285
0.300009,0.180263,4.869434,5,2.11114
0.428584,0.257519,5,5,2.163422
0.178201,0.090798,5,4.89682,2.11862
0.045315,0.021131,5,4.552828,2.103106
0,0,5,5,2.201605
0.419335,0.27232,5,5,2.309789
0.16383,0.114715,4.746439,5,2.370573
0.385725,0.231767,5,5,2.300717
0.300009,0.180263,5,5,2.338186
0.251601,0.163392,5,5,2.422903
0.349848,0.193924,5,5,2.352303
0.271892,0.126785,5,5,2.29645
0.09205,0.039073,5,4.651589,2.274793
0.089101,0.045399,5,5,2.377632
0.311852,0.158897,5,5,2.388168
0.271892,0.126785,5,5,2.348067
0.280074,0.10751,5,4.46067,2.298913
0.233395,0.089592,5,4.498511,2.320891
0.230126,0.097683,5,4.839639,2.370022
0.311852,0.158897,5,5,2.480936
